block,layer,position,prompt,rank_intermediate,rank_answer
A,0,10,What is the capital of the rival of the rival of Dorrudmek?,128,323
A,0,11,What is the capital of the rival of the rival of Dorrudmek?,45517,125146
A,0,12,What is the capital of the rival of the rival of Dorrudmek?,18344,4013
A,0,13,What is the capital of the rival of the rival of Dorrudmek?,39108,144424
A,0,14,What is the capital of the rival of the rival of Dorrudmek?,78076,144419
A,0,15,What is the capital of the rival of the rival of Dorrudmek?,38422,47531
A,1,10,What is the capital of the rival of the rival of Dorrudmek?,114,106
A,1,11,What is the capital of the rival of the rival of Dorrudmek?,24468,87319
A,1,12,What is the capital of the rival of the rival of Dorrudmek?,38038,4884
A,1,13,What is the capital of the rival of the rival of Dorrudmek?,15552,112649
A,1,14,What is the capital of the rival of the rival of Dorrudmek?,67500,134457
A,1,15,What is the capital of the rival of the rival of Dorrudmek?,8779,12086
A,2,10,What is the capital of the rival of the rival of Dorrudmek?,89,179
A,2,11,What is the capital of the rival of the rival of Dorrudmek?,58085,125041
A,2,12,What is the capital of the rival of the rival of Dorrudmek?,64792,36032
A,2,13,What is the capital of the rival of the rival of Dorrudmek?,8455,85122
A,2,14,What is the capital of the rival of the rival of Dorrudmek?,90705,147409
A,2,15,What is the capital of the rival of the rival of Dorrudmek?,76514,70759
A,3,10,What is the capital of the rival of the rival of Dorrudmek?,146,167
A,3,11,What is the capital of the rival of the rival of Dorrudmek?,15947,62665
A,3,12,What is the capital of the rival of the rival of Dorrudmek?,29668,9032
A,3,13,What is the capital of the rival of the rival of Dorrudmek?,1497,13619
A,3,14,What is the capital of the rival of the rival of Dorrudmek?,26738,91378
A,3,15,What is the capital of the rival of the rival of Dorrudmek?,59154,61276
A,4,10,What is the capital of the rival of the rival of Dorrudmek?,121,183
A,4,11,What is the capital of the rival of the rival of Dorrudmek?,25293,84112
A,4,12,What is the capital of the rival of the rival of Dorrudmek?,92328,34588
A,4,13,What is the capital of the rival of the rival of Dorrudmek?,40722,121869
A,4,14,What is the capital of the rival of the rival of Dorrudmek?,99813,134599
A,4,15,What is the capital of the rival of the rival of Dorrudmek?,78381,75897
